text,category,amount
Transaction at Act Fibernet for INR 18547 on card,Utilities,18547.0
Paid ₹12202 at Decathlon,Shopping,12202.0
"lunch INR26543 is the amount, not 48200",Food,26543.0
spent ₹2452 on unacademy,Education,2452.0
cab charges 36118.00,Transport,36118.0
Kindle Payment ₹43908 yesterday,Education,43908.0
dth 27833 no make it 37569.00,Utilities,37569.0
Spent 40006 rs on vegetables,Food,40006.0
paid ₹28660 at imax,Entertainment,28660.0
26551.00 paid to amazon,Shopping,26551.0
Bought New Sneakers 10238 Rs yesterday,Shopping,10238.0
Food Payment Of Inr 5358,Food,5358.0
Ordered from Decathlon Rs. 43918,Shopping,43918.0
paid inr 23655 at kfc,Food,23655.0
Breakfast Payment Of ₹16546,Food,16546.0
cult.fit payment rs. 19403,Health,19403.0
gift spent 45444 oh wait it was 880 rs,Shopping,880.0
grocery ₹16573 ... not 43983 txn id 676365,Food,16573.0
Dominos 44873.00 ... Not 25510 today,Food,44873.0
Cult.fit 22524,Entertainment,22524.0
tea break at stall 24905 txn id 335206,Food,24905.0
Spent ₹20652 on purchase,Shopping,20652.0
Ordered Clothes Online 25082 Rs,Shopping,25082.0
Spent 32097 on KFC debt,Food,32097.0
Subway 39043 Rs,Food,39043.0
Paid for fruits 23684.00,Food,23684.0
Paid Inr36226 At Zomato,Food,36226.0
Monthly restaurant 47833 rs txn id 705397 today,Food,47833.0
renewed netflix subscription Rs. 2434,Entertainment,2434.0
Charity payment INR12014 via gpay,Others,12014.0
Debit Swipe Practo ₹8733,Health,8733.0
Ordered from HP Petrol 25385 rs,Transport,25385.0
spent 34517 on playstation,Entertainment,34517.0
Blinkit INR11619,Food,11619.0
"Uber Calculated 15569 incorrectly, actual is 16689",Transport,16689.0
Bought New Sneakers ₹8723,Shopping,8723.0
"Charity Calculated 43391 incorrectly, actual is INR42085 txn id 506629",Others,42085.0
Breakfast Rs. 19668 ... Not 28174,Food,19668.0
Paid 28636 at Act Fibernet txn id 611814,Utilities,28636.0
paid inr 19228 at bank successful,Income,19228.0
Debit swipe IRCTC Rs. 45677,Transport,45677.0
mobile 30874 ... not 36520 successful,Utilities,30874.0
UPI payment to Cure.fit 35299.00,Health,35299.0
Spent 39813 rs on plumber,Housing,39813.0
Bill from PlayStation of ₹47036,Entertainment,47036.0
Spent INR 7569 on donation,Others,7569.0
Spent INR25206 on Uber,Transport,25206.0
Debit Swipe Friend 1702.00,Others,1702.0
Asian Paints INR 31034,Housing,31034.0
Dominos Transfer 9457 actually 34478 rs,Food,34478.0
went out for dinner with friends 30530 rs,Food,30530.0
Paid for food Rs. 35684,Food,35684.0
Transaction at Burger King for INR 35960,Food,35960.0
paid ₹30812 at h&m,Shopping,30812.0
"Unknown Calculated 9256 incorrectly, actual is 30480 rs",Others,30480.0
UPI payment to Instamart Rs. 4717,Food,4717.0
INR3408 paid to McDonalds,Food,3408.0
spent ₹34850 on clothes,Shopping,34850.0
clothes charges 29943 cred last night,Shopping,29943.0
Just Paid Game Bill ₹16290,Entertainment,16290.0
monthly show inr 30720,Entertainment,30720.0
spent rs. 7584 on bescom upi ref 91284,Utilities,7584.0
Debit swipe Starbucks Rs. 7866,Food,7866.0
birthday treat for team 28787 rs via paytm,Food,28787.0
asian paints 3381.00,Housing,3381.0
HP Petrol payment INR36091 debt today,Transport,36091.0
"McDonalds Calculated 22080 incorrectly, actual is Rs. 48417 via gpay",Food,48417.0
Spent 34576 on BookMyShow,Entertainment,34576.0
monthly cinema ₹4935,Entertainment,4935.0
"Amazon INR24456 is the amount, not 7576",Shopping,24456.0
INR 30134 for gift via phonepe,Shopping,30134.0
Amazon INR21522,Shopping,21522.0
8801 rs paid to Jio,Utilities,8801.0
PVR payment ₹43370,Entertainment,43370.0
6682.00 paid to DishTV,Utilities,6682.0
Spent 7708.00 on KFC,Food,7708.0
UPI payment to Unacademy ₹37798 yesterday,Education,37798.0
transaction at asian paints for inr 13526,Housing,13526.0
shopping spree at mall rs. 43787,Shopping,43787.0
Transaction at Practo for ₹45298,Health,45298.0
UPI credit from friend ₹11458 via paytm,Income,11458.0
event payment of INR34735,Entertainment,34735.0
Amazon 28829.00,Shopping,28829.0
Swiggy Rs. 28066 txn id 716366 yesterday,Food,28066.0
Transaction at Charity for 33240.00,Others,33240.0
vegetables 23236 was debited... correction ₹46298,Food,46298.0
Jio Payment ₹23683,Utilities,23683.0
Spent ₹32127 on recharge cred today,Utilities,32127.0
late night craving order Rs. 49585,Food,49585.0
diwali shopping for family 48630,Shopping,48630.0
Bill from HDFC of Rs. 44971,Income,44971.0
home centre ₹39492,Housing,39492.0
Debit swipe Adidas 6015,Shopping,6015.0
UPI payment to Adidas 16019 txn id 114621 on 12/05,Shopping,16019.0
Ordered Late Night Snacks 8341 Rs via gpay,Food,8341.0
Went Out For Dinner With Friends Inr43337,Food,43337.0
Clothes Payment Of Inr 36348,Shopping,36348.0
Ordered from Vi INR2504,Utilities,2504.0
Debit swipe 1mg 44000.00,Health,44000.0
paid inr37515 at burger king,Food,37515.0
parking payment of 37767 rs cred,Transport,37767.0
KFC INR31154 successful on 12/05,Food,31154.0
paid for broadband rs. 2064,Utilities,2064.0
Transaction at Instamart for ₹47095,Food,47095.0
Inr 16595 Paid To Amazon,Shopping,16595.0
Ajio INR 30221 via gpay,Shopping,30221.0
Electronics Store Bill Inr19531 upi ref 60111,Shopping,19531.0
Employer Payment 41413.00,Income,41413.0
tuition Not 20725 but INR1411,Education,1411.0
Just paid food bill 40581.00 via phonepe,Food,40581.0
"H&M Calculated 33655 Incorrectly, Actual Is 45628 Rs",Shopping,45628.0
Inr27482 Paid To Unknown debt,Others,27482.0
Electronics Store Bill 39068,Shopping,39068.0
Just paid plumber bill 8025,Housing,8025.0
Monthly carpenter INR 28592,Housing,28592.0
Just paid fee bill INR37655,Education,37655.0
Monthly clothes 45290.00 upi ref 93631,Shopping,45290.0
Spent 36807 on Amazon,Shopping,36807.0
shell not 19898 but inr34962,Transport,34962.0
myntra bill is 11746... sorry rs. 41522,Shopping,41522.0
Just Paid Breakfast Bill 22622 Rs,Food,22622.0
Netflix INR 2913,Entertainment,2913.0
Just paid metro bill 27548.00,Transport,27548.0
Debit Swipe Shell Inr 737 debt,Transport,737.0
"bus calculated 43395 incorrectly, actual is inr 15048 successful",Transport,15048.0
late night craving order 25682,Food,25682.0
internet connection setup fee ₹18540,Utilities,18540.0
Spent INR14100 on Shell txn id 655332,Transport,14100.0
Postpaid Bill Is 41967 Not 32238,Utilities,41967.0
Mobile Recharge Done Rs. 43584,Utilities,43584.0
Debit swipe Ajio 22304 via gpay today,Shopping,22304.0
restaurant cost INR 12731,Food,12731.0
Blinkit ₹31822 on 12/05,Food,31822.0
Just paid restaurant bill Rs. 27091,Food,27091.0
coffee cost INR 7413,Food,7413.0
inr46869 paid to ajio via gpay,Shopping,46869.0
bill from h&m of inr41579,Shopping,41579.0
Toll Expense 41023.00,Transport,41023.0
food Spent 17937 oh wait it was INR 49716 via gpay,Food,49716.0
Spent Rs. 45407 on Unknown,Others,45407.0
paid for ride 23221.00,Transport,23221.0
ordered from bescom inr23787,Utilities,23787.0
book expense 37161 txn id 215614,Education,37161.0
Paid Rs. 23301 at Bescom,Utilities,23301.0
rs. 39034 paid to myntra,Shopping,39034.0
Paid 10711 Rs At Burger King,Food,10711.0
34412 rs paid to Rapido,Transport,34412.0
sunday brunch bill INR904 cred,Food,904.0
sunday brunch bill 42497 rs via phonepe,Food,42497.0
pizza hut payment 24697,Food,24697.0
29548.00 for gas bill,Housing,29548.0
swiggy inr 24742 yesterday,Food,24742.0
party expense 14986.00,Entertainment,14986.0
Adidas payment Rs. 47728 via paytm,Shopping,47728.0
Plumber 15114 No Make It 44624 via phonepe,Housing,44624.0
monthly game ₹14750,Entertainment,14750.0
monthly bus pass renewal 24760 rs,Transport,24760.0
ride charges ₹31714,Transport,31714.0
"gift inr 37427 is the amount, not 43563 txn id 585995",Shopping,37427.0
"Friend Calculated 38173 incorrectly, actual is ₹23253 via paytm",Others,23253.0
asian paints inr17735,Housing,17735.0
Debit Swipe Mcdonalds 38896.00,Food,38896.0
office canteen lunch INR35341,Food,35341.0
food expense 48118,Food,48118.0
grocery cost INR 7282 today,Food,7282.0
PlayStation Not 41709 but 30972 rs,Entertainment,30972.0
Spent ₹23525 on NoBroker,Housing,23525.0
Decathlon INR 45827,Shopping,45827.0
UPI payment to Cult.fit 35024,Health,35024.0
broadband Typo 8457 read as 37388.00,Utilities,37388.0
Spent ₹47689 on subscription via paytm,Entertainment,47689.0
ordered from shell 34717.00,Transport,34717.0
Movie Charges 43474 Rs,Entertainment,43474.0
Spent Rs. 48040 On Apple Store,Shopping,48040.0
electronics store bill INR48177,Shopping,48177.0
debit swipe spotify 31123 rs cred,Entertainment,31123.0
gift expense 18068 rs on card,Shopping,18068.0
Zara ₹41628 upi ref 45900,Shopping,41628.0
Spent 4545 on Shell,Transport,4545.0
physiotherapy session Rs. 30296 successful,Health,30296.0
Paid INR45485 at Home Centre debt,Housing,45485.0
paid ₹4091 at hp petrol,Transport,4091.0
"bigbasket calculated 43541 incorrectly, actual is 23879 rs",Food,23879.0
Steam 30115 Rs on 12/05,Entertainment,30115.0
upi payment to flipkart rs. 6373 last night,Shopping,6373.0
8483.00 paid to HP Petrol,Transport,8483.0
ordered clothes online Rs. 34767,Shopping,34767.0
Monthly workshop INR43765,Education,43765.0
Asian Paints INR30073,Housing,30073.0
Snack Spent 8992 Oh Wait It Was Rs. 38386,Food,38386.0
Paid for shoes ₹24623,Shopping,24623.0
Bill from Air Asia of 22506 rs via gpay,Transport,22506.0
Transfer Received From Employer Inr 31386 on card,Income,31386.0
ordered from nike inr41338,Shopping,41338.0
dental cleaning charges 12652 rs,Health,12652.0
auto expense 31728 rs,Transport,31728.0
74 paid to adidas,Shopping,74.0
Transaction at Swiggy for 22704.00,Food,22704.0
spent 43792.00 on spotify,Entertainment,43792.0
KFC payment 26695.00 cred,Food,26695.0
Upi Payment To Flipkart Rs. 10420 last night,Shopping,10420.0
Transaction at BigBasket for ₹6832,Food,6832.0
Spent 7547 on fee yesterday,Education,7547.0
Monthly Broadband 39760.00,Utilities,39760.0
Spent 41050.00 On Burger King,Food,41050.0
accessories expense 37844 rs last night,Shopping,37844.0
Tata Sky ₹6337 ... Not 37673,Utilities,6337.0
26436 rs for vegetables,Food,26436.0
HDFC Rs. 45990 via gpay,Income,45990.0
ordered from charity inr 19729,Others,19729.0
Gas Bill 6245 ... Not 31702,Housing,6245.0
Bill from Pizza Hut of Rs. 15067,Food,15067.0
Spent 24805 on Home Centre,Housing,24805.0
Paid Rs. 21495 At Mcdonalds,Food,21495.0
bigbasket payment inr33662,Food,33662.0
Zomato ₹49379,Food,49379.0
INR47393 paid to Decathlon,Shopping,47393.0
Spent INR 45772 on purchase successful yesterday,Shopping,45772.0
donation expense 30323.00,Others,30323.0
Debit swipe Shell 12704.00 last night,Transport,12704.0
burger king 37184,Food,37184.0
Charity Payment 35858,Others,35858.0
broadband charges 396,Utilities,396.0
workshop expense ₹30383,Education,30383.0
reimbursement received from office ₹28798,Income,28798.0
"purchase 16405 rs is the amount, not 9211",Shopping,16405.0
Paid ₹48508 At Phonepe,Income,48508.0
Spent Rs. 38891 On Air Asia,Transport,38891.0
fuel filled for bike inr45191,Transport,45191.0
hp petrol inr 14463 upi ref 73692,Transport,14463.0
Debit swipe Apple Store Rs. 46784,Shopping,46784.0
toll payment of ₹49950 last night,Transport,49950.0
money transferred to account INR36951,Income,36951.0
Transaction at Air Asia for ₹46126,Transport,46126.0
paid for internet inr 44305,Utilities,44305.0
plumber 26157 was debited... correction 4498 rs,Housing,4498.0
Spent 5295.00 on trip,Transport,5295.0
Monthly bill 29920,Utilities,29920.0
paid monthly house rent INR 36070,Housing,36070.0
Monthly bill 27704,Utilities,27704.0
UPI payment to BigBasket 45570.00,Food,45570.0
Spent 47029 on purchase,Shopping,47029.0
Breakfast Charges 31788 Rs,Food,31788.0
prepaid charges INR2414,Utilities,2414.0
Fruits Cost 30730.00 upi ref 35330,Food,30730.0
accessories Spent 42942 oh wait it was 16545,Shopping,16545.0
Starbucks payment Rs. 48588,Food,48588.0
fruits cost 8101.00,Food,8101.0
Paid for vegetables ₹17270,Food,17270.0
IMAX Paid 22323 wait no 8676 rs,Entertainment,8676.0
physiotherapy session INR 11670 via phonepe,Health,11670.0
electronics store bill INR2912,Shopping,2912.0
shopping spree at mall inr 26693,Shopping,26693.0
Spent Rs. 10033 on purchase today,Shopping,10033.0
electronics cost ₹26348 via gpay,Shopping,26348.0
train charges Rs. 18121,Transport,18121.0
Coursera Rs. 26262 on card,Education,26262.0
Ordered from Coursera ₹5036 today,Education,5036.0
Just paid electricity bill 44049.00 last night,Housing,44049.0
INR37798 paid to Jio,Utilities,37798.0
16583 rs for show,Entertainment,16583.0
Spent 24893 rs on HP Petrol via gpay on 12/05,Transport,24893.0
UPI payment to Cure.fit Rs. 19247,Health,19247.0
Monthly vegetables 2554,Food,2554.0
Decathlon Not 4637 but Rs. 43361 txn id 244955,Shopping,43361.0
Prepaid Expense Rs. 21398,Utilities,21398.0
Paid 7360 at Apple Store,Shopping,7360.0
shoes charges Rs. 34727 cred,Shopping,34727.0
Paid for credited INR9914,Income,9914.0
fruits 16425 instead of 49157 cred,Food,16425.0
Amazon Rs. 18793,Shopping,18793.0
course Spent 26460 oh wait it was INR7428,Education,7428.0
paid 35435.00 at subway,Food,35435.0
Spent INR 12633 on atm,Others,12633.0
maid Bill is INR 28097 not 30145,Housing,28097.0
Paid for carpenter INR 7351,Housing,7351.0
Spent 30139.00 on BigBasket,Food,30139.0
INR 24705 for pharmacy,Health,24705.0
debit swipe hp petrol 5641.00,Transport,5641.0
Myntra 38520.00,Shopping,38520.0
shoes payment of inr16564,Shopping,16564.0
dinner charges Rs. 1236,Food,1236.0
game expense 11607 rs,Entertainment,11607.0
spent 12085.00 on restaurant successful,Food,12085.0
spent 14553.00 on auto txn id 653443,Transport,14553.0
"Instamart ₹36024 Is The Amount, Not 7742",Food,36024.0
Bill from MedPlus of INR 31573,Health,31573.0
INR 2327 paid to Blinkit yesterday,Food,2327.0
Bill From Cure.Fit Of 20266 Rs txn id 523355,Health,20266.0
Transaction At Mcdonalds For ₹6250,Food,6250.0
Shell 44600.00 last night,Transport,44600.0
lunch payment of inr21736 txn id 475271,Food,21736.0
IMAX INR45532,Entertainment,45532.0
Zomato Bill is 219 rs not 36561,Food,219.0
electrician repair work 39803,Housing,39803.0
Blinkit Not 26639 but 19096 rs,Food,19096.0
bought vegetables from local shop 45098 debt,Food,45098.0
Paid For Course ₹27084,Education,27084.0
Starbucks 5921 no make it 28742.00,Food,28742.0
food payment of 28308.00,Food,28308.0
cab expense 9217,Transport,9217.0
INR 16601 paid to Bescom,Utilities,16601.0
Food Expense 41420,Food,41420.0
Transaction at Asian Paints for 42165 rs,Housing,42165.0
diwali shopping for family 20585 rs,Shopping,20585.0
parking expense INR 2435 on 12/05,Transport,2435.0
office canteen lunch 43143,Food,43143.0
Paid Rs. 15589 at Unacademy,Education,15589.0
Airtel 26508 was debited... correction Rs. 44166,Utilities,44166.0
Swiggy Bill is INR32739 not 30028,Food,32739.0
"snack 27682 is the amount, not 17231",Food,27682.0
late night craving order Rs. 48222 debt,Food,48222.0
Bill from Zomato of INR34459,Food,34459.0
ride spent 10341 oh wait it was 23668,Transport,23668.0
"DishTV Calculated 24367 incorrectly, actual is 15801 rs cred",Utilities,15801.0
rs. 7110 paid to ikea,Housing,7110.0
Just paid electricity bill Rs. 46106,Housing,46106.0
Cult.Fit Payment Rs. 29008 on 12/05,Health,29008.0
Debit swipe Shell 46712,Transport,46712.0
doctor consultation fee Rs. 5526,Health,5526.0
18718 Rs For Accessories,Shopping,18718.0
UPI payment to Blinkit 20429.00,Food,20429.0
Ordered from Indigo 28934,Transport,28934.0
Broadband Spent 21276 Oh Wait It Was Inr 48963 cred,Utilities,48963.0
Rs. 37116 For Checkup,Health,37116.0
monthly bus pass renewal Rs. 42311 via phonepe on 12/05,Transport,42311.0
IRCTC 43433 rs last night,Transport,43433.0
hp petrol 47301.00,Transport,47301.0
Bill from Ajio of 40551 upi ref 41600,Shopping,40551.0
MedPlus Rs. 28528,Health,28528.0
INR 24853 for auto,Transport,24853.0
₹31882 paid to Charity,Others,31882.0
BigBasket 3198,Food,3198.0
Spent Rs. 19364 on HDFC,Income,19364.0
fruits expense Rs. 11363 debt,Food,11363.0
rs. 20848 for mobile,Utilities,20848.0
toll payment of INR 13536,Transport,13536.0
Spent 10897.00 On Fuel,Transport,10897.0
₹28313 for flight,Transport,28313.0
UPI payment to McDonalds ₹32725 today,Food,32725.0
debit swipe airtel 6788 rs last night,Utilities,6788.0
Spent 46538 rs on tuition,Education,46538.0
Spent 37317.00 on Kindle,Education,37317.0
rs. 26933 for clothes,Shopping,26933.0
Trip Charges Inr 26311,Transport,26311.0
inr 14618 paid to gold's gym,Entertainment,14618.0
bought new curtains for hall INR45855,Housing,45855.0
Act Fibernet Not 31243 but Rs. 32406,Utilities,32406.0
Unacademy 32740,Education,32740.0
Zara payment ₹36435 successful,Shopping,36435.0
Debit swipe Indigo 31311.00,Transport,31311.0
Paid For Gift 28899,Shopping,28899.0
swiggy paid 5488 wait no 42246,Food,42246.0
Zomato 25113 Rs,Food,25113.0
Spent INR23683 on fruits via paytm,Food,23683.0
Paid 11724 Rs At Pvr,Entertainment,11724.0
Transaction At Kfc For Inr42840 via paytm,Food,42840.0
Bill from Subway of ₹3038,Food,3038.0
Just paid petrol bill INR27667 last night,Transport,27667.0
electronics expense INR3857 via phonepe,Shopping,3857.0
Office Cab Ride 17461 Rs,Transport,17461.0
Cab Charges Inr10630,Transport,10630.0
22829 For Stipend,Income,22829.0
Bill from HDFC of 31671 rs,Income,31671.0
Paid for electronics 32751,Shopping,32751.0
gift Not 101 but 6788 rs debt,Others,6788.0
shopping spree at mall ₹4133 yesterday,Shopping,4133.0
apparel expense Rs. 15077,Shopping,15077.0
gift charges 12351 on card,Shopping,12351.0
INR34013 for gym on card,Health,34013.0
fee expense Rs. 18728,Education,18728.0
Paid for ride ₹36408,Transport,36408.0
Spent Rs. 40071 on parking,Transport,40071.0
17474 Paid To Kindle,Education,17474.0
Friend INR 42325,Others,42325.0
Mobile Expense 40384.00 via paytm,Utilities,40384.0
Bill from Tata Sky of 15809.00,Utilities,15809.0
Debit swipe Shell INR24368,Transport,24368.0
Spent INR22821 on Coursera yesterday,Education,22821.0
Bill From Irctc Of 41673.00,Transport,41673.0
Debit Swipe Shell Rs. 41396,Transport,41396.0
37637.00 paid to Zomato,Food,37637.0
Movie Expense Inr4232,Entertainment,4232.0
Nobroker Transfer 34383 Actually Inr 36165,Housing,36165.0
Debit swipe Subway INR 4492,Food,4492.0
Blinkit Spent 29943 oh wait it was INR 20371,Food,20371.0
Transaction At Ikea For Inr 25233,Housing,25233.0
shoes cost INR 40612,Shopping,40612.0
Paid for gift Rs. 43102,Shopping,43102.0
Bought Vegetables From Local Shop ₹47817 yesterday,Food,47817.0
paid for gym ₹31314,Entertainment,31314.0
Practo 22566 was debited... correction INR 17907,Health,17907.0
ordered from blinkit rs. 40150 on 12/05,Food,40150.0
Ride 8437 Was Debited... Correction Inr3467,Transport,3467.0
inr 15053 paid to 1mg,Health,15053.0
Spent ₹3723 on electronics,Shopping,3723.0
Bill from Instamart of INR 37414,Food,37414.0
"vegetables ₹46071 is the amount, not 28446",Food,46071.0
UPI payment to IKEA Rs. 26703 successful,Housing,26703.0
Paid for electronics 26081,Shopping,26081.0
Doctor Payment Of ₹24113 via phonepe,Health,24113.0
14244.00 paid to Kindle,Education,14244.0
inr21824 paid to disney+,Entertainment,21824.0
Rs. 28957 Paid To Home Centre,Housing,28957.0
restaurant charges INR42346,Food,42346.0
winter wear purchase INR 18329,Shopping,18329.0
spent 49702.00 on swiggy today,Food,49702.0
Paid INR 36872 at Shell via paytm today,Transport,36872.0
"atm Calculated 44292 incorrectly, actual is INR 40678",Others,40678.0
doctor charges INR37514,Health,37514.0
bigbasket payment 14721,Food,14721.0
Fuel Inr 37209 Instead Of 4323 via gpay,Transport,37209.0
Spent Rs. 15578 on accessories,Shopping,15578.0
Nike Spent 18990 oh wait it was INR19575,Shopping,19575.0
Paid INR12255 at Home Centre,Housing,12255.0
6346 paid to Bank,Income,6346.0
Adidas payment INR16033,Shopping,16033.0
bonus payment of INR 23353 today,Income,23353.0
rs. 26637 paid to shell,Transport,26637.0
Bill from HP Petrol of INR29117,Transport,29117.0
restaurant cost Rs. 17649,Food,17649.0
Lunch Payment Of 37588 Rs,Food,37588.0
gift for anniversary Rs. 1372 upi ref 12289,Shopping,1372.0
Monthly purchase 2480,Shopping,2480.0
electricity cost 42338 upi ref 76517,Housing,42338.0
Just paid accessories bill Rs. 10493 successful,Shopping,10493.0
₹37487 for plumber,Housing,37487.0
Bought Clean Coding Book ₹11329 cred on 12/05,Education,11329.0
Spent ₹994 on Kindle,Education,994.0
Rs. 43016 Paid To Instamart,Food,43016.0
Transaction At Subway For 5851.00,Food,5851.0
paid rs. 27678 at nike,Shopping,27678.0
snack payment of INR21168,Food,21168.0
Cult.Fit 18677.00 via gpay,Health,18677.0
Bill from Starbucks of 26814 on 12/05,Food,26814.0
Paid 41338.00 at Burger King,Food,41338.0
Food Bill Is 45770 Rs Not 41299 debt yesterday,Food,45770.0
Spent INR 12329 on electronics,Shopping,12329.0
Transaction At H&M For Inr10058,Shopping,10058.0
lunch payment of 42667 rs cred,Food,42667.0
shopping expense 44657 rs,Shopping,44657.0
Transaction at IRCTC for 18768,Transport,18768.0
INR3894 paid to IKEA,Housing,3894.0
act fibernet 17857.00,Utilities,17857.0
Bought Vegetables From Local Shop Inr38071,Food,38071.0
UPI payment to Burger King Rs. 19028,Food,19028.0
"apple store calculated 34479 incorrectly, actual is inr4657",Shopping,4657.0
Gym Membership Renewal Inr 44986,Health,44986.0
Flipkart Paid 3825 wait no INR13167,Shopping,13167.0
transaction at decathlon for rs. 17640,Shopping,17640.0
"Ajio Calculated 48366 incorrectly, actual is 47769.00",Shopping,47769.0
McDonalds Bill is 36356... sorry Rs. 42868,Food,42868.0
INR14571 paid to Apple Store,Shopping,14571.0
Just Paid Electrician Bill Rs. 29812,Housing,29812.0
Spent ₹10805 on Pizza Hut,Food,10805.0
metro expense 13619 rs,Transport,13619.0
whitewashing labor cost ₹23778,Housing,23778.0
metro payment of ₹19349 upi ref 71903,Transport,19349.0
spent rs. 37531 on unacademy,Education,37531.0
Paid INR9448 at Myntra debt,Shopping,9448.0
fruits payment of 37909.00 last night,Food,37909.0
Transaction at Amazon Prime for 40583.00,Entertainment,40583.0
Burger King ₹4123,Food,4123.0
dinner Paid 35893 wait no 48484 rs,Food,48484.0
transaction at nike for inr22692 upi ref 57362,Shopping,22692.0
INR 46445 for postpaid,Utilities,46445.0
prepaid Typo 20348 read as INR 1068 on 12/05,Utilities,1068.0
PVR ₹27175 instead of 17161 txn id 515490 last night,Entertainment,27175.0
Subway Typo 47976 Read As Rs. 2344 via gpay,Food,2344.0
UPI payment to Subway Rs. 14745 on card,Food,14745.0
Spent 15900 rs on snack,Food,15900.0
Just paid recharge bill 27881.00,Utilities,27881.0
20497 rs paid to IRCTC,Transport,20497.0
ordered from mcdonalds ₹27878,Food,27878.0
Shopping Cost 34323 Rs,Shopping,34323.0
Spent ₹41432 on Practo,Health,41432.0
Shopping Paid 29695 Wait No Rs. 12821,Shopping,12821.0
Spent ₹19687 on Asian Paints,Housing,19687.0
₹8608 Paid To Myntra via gpay,Shopping,8608.0
Bill from Swiggy of 44918,Food,44918.0
Debit Swipe Imax 15957 Rs,Entertainment,15957.0
transaction at hdfc for 35694,Income,35694.0
₹19548 for party,Entertainment,19548.0
UPI payment to IKEA 36424.00,Housing,36424.0
Spent INR 14846 on Rapido,Transport,14846.0
Sunday Brunch Bill 38363,Food,38363.0
recharge payment of 23802 rs,Utilities,23802.0
Debit swipe IRCTC ₹18983,Transport,18983.0
Debit Swipe Irctc 4745.00,Transport,4745.0
Transaction at Amazon for 38843 txn id 635055,Shopping,38843.0
Spent 42545 rs on Kindle successful yesterday,Education,42545.0
BigBasket 24854 no make it ₹30267,Food,30267.0
PlayStation 41915 debt,Entertainment,41915.0
Ordered from Indigo Rs. 22732 yesterday,Transport,22732.0
tuition not 40655 but ₹43736,Education,43736.0
Dinner Expense Rs. 29728,Food,29728.0
Debit swipe Dominos 40251.00,Food,40251.0
concert payment of Rs. 29602,Entertainment,29602.0
Debit swipe Burger King INR8581,Food,8581.0
Transaction at Air Asia for INR 40213,Transport,40213.0
sunday brunch bill 29090.00,Food,29090.0
paid 9578 at flipkart,Shopping,9578.0
Ordered from Pizza Hut Rs. 13979,Food,13979.0
PhonePe Rs. 37177,Income,37177.0
tea break at stall INR10458,Food,10458.0
apparel charges 39122.00 successful,Shopping,39122.0
routine body checkup 31629.00,Health,31629.0
Dinner Spent 47844 Oh Wait It Was 25755.00,Food,25755.0
clothes expense 35898 rs,Shopping,35898.0
cinema expense Rs. 15046 on card,Entertainment,15046.0
Vi 25237 Rs,Utilities,25237.0
inr43913 for dinner cred,Food,43913.0
debit swipe urban company inr46974,Housing,46974.0
food expense ₹45704,Food,45704.0
monthly vegetables inr 43159,Food,43159.0
metro paid 9667 wait no rs. 27430 cred,Transport,27430.0
Just Paid Subscription Bill 5450 debt,Entertainment,5450.0
snack expense 46579,Food,46579.0
school bus fee INR38156,Education,38156.0
transaction at pizza hut for inr32342,Food,32342.0
Paid 21735 rs at Swiggy,Food,21735.0
Rs. 27708 for internet,Utilities,27708.0
streaming service monthly fee Rs. 61,Entertainment,61.0
21877 Rs For Class,Education,21877.0
gift charges 47329.00,Shopping,47329.0
Bill from Zara of INR49164 txn id 914713,Shopping,49164.0
"Vi Calculated 44579 Incorrectly, Actual Is 28731 Rs successful",Utilities,28731.0
Event Charges Inr9254,Entertainment,9254.0
accessories charges INR558,Shopping,558.0
Monthly auto INR 2137,Transport,2137.0
Monthly Purchase 37078 Rs,Shopping,37078.0
44508 for consultation via gpay,Health,44508.0
Pizza Hut payment ₹18213,Food,18213.0
sunday brunch bill 7271,Food,7271.0
Ordered From Zara Inr 21579 cred,Shopping,21579.0
Bill From Nobroker Of 33950,Housing,33950.0
Decathlon Not 23512 but INR 11932,Shopping,11932.0
Clothes Payment Of 46108 Rs,Shopping,46108.0
Spent Rs. 7955 on cab,Transport,7955.0
transaction at tata sky for 41364.00,Utilities,41364.0
petrol cost 45870,Transport,45870.0
Spent 183 On Electronics,Shopping,183.0
paid rs. 30275 at apollo pharmacy,Health,30275.0
Bill From Rapido Of Inr 5411,Transport,5411.0
Paid for prepaid ₹33844 today,Utilities,33844.0
cinema payment of 42443,Entertainment,42443.0
clothes cost 32259.00,Shopping,32259.0
48584.00 Paid To Apple Store on card,Shopping,48584.0
45297 rs paid to IRCTC,Transport,45297.0
UPI payment to Dominos 28772 rs last night,Food,28772.0
₹40601 Paid To Decathlon last night,Shopping,40601.0
apparel payment of ₹577,Shopping,577.0
"restaurant Calculated 15235 incorrectly, actual is ₹19114",Food,19114.0
hospital cost ₹29647,Health,29647.0
Monthly checkup INR6062,Health,6062.0
office cab ride ₹42584,Transport,42584.0
Grocery Bill Is Rs. 42316 Not 18400 yesterday,Food,42316.0
upi payment to hp petrol ₹5751,Transport,5751.0
inr 45715 paid to zara,Shopping,45715.0
Adidas Spent 2166 Oh Wait It Was 22451.00,Shopping,22451.0
Paid for consultation Rs. 9819,Health,9819.0
Ajio INR 41540 upi ref 44433 last night,Shopping,41540.0
UPI payment to Udemy 6429,Education,6429.0
PVR Not 44506 but 3909 rs,Entertainment,3909.0
