text,category,amount
INR 27706 paid to Zomato,Food,27706
NoBroker Typo 14679 read as 49765 rs yesterday,Housing,49765
school bus fee 30608,Education,30608
Spent ₹21107 on shopping debt,Shopping,21107
Paid Inr 47763 At Uber,Transport,47763
Debit Swipe Asian Paints ₹25476,Housing,25476
Steam 45387 no make it 28111 rs,Entertainment,28111
"lunch INR26543 is the amount, not 48200",Food,26543
Instamart ₹33278,Food,33278
Debit swipe Zomato 14811,Food,14811
paid for grocery inr 15652,Food,15652
Bill from Flipkart of Rs. 26980,Shopping,26980
Metro Expense 46590.00,Transport,46590
paid 44707 rs at medplus,Health,44707
₹39748 for breakfast via paytm,Food,39748
Upi Payment To Burger King 45886.00,Food,45886
Rs. 46858 paid to Pizza Hut successful,Food,46858
₹20034 for movie,Entertainment,20034
₹22749 paid to Spotify,Entertainment,22749
internet spent 10817 oh wait it was rs. 2880 via paytm,Utilities,2880
amazon payment rs. 39736,Shopping,39736
Transaction at Home Centre for INR 1675,Housing,1675
inr45654 paid to bank,Income,45654
office canteen lunch Rs. 45188,Food,45188
Monthly Food 54 Rs,Food,54
bill from subway of rs. 26277,Food,26277
Misc Payment Of ₹1041 upi ref 93979,Others,1041
bill from charity of 21982.00 debt,Others,21982
train Bill is 46982 rs not 45253,Transport,46982
bought vegetables from local shop 45098 debt,Food,45098
Paid for test 36497,Health,36497
Paid For Recharge ₹18770 on 12/05,Utilities,18770
Electronics Store Bill Inr44792 cred,Shopping,44792
monthly metro 47468.00,Transport,47468
credited cost 16269 rs txn id 455589,Income,16269
electronics payment of 22871.00,Shopping,22871
charity donation 14597.00,Others,14597
Inr32611 For School,Education,32611
Sunday Brunch Bill 40511 Rs on card,Food,40511
concert tickets booking INR33992,Entertainment,33992
Spent 18421 On Cafe,Food,18421
Unknown payment Rs. 27152 on 12/05,Others,27152
Gas Bill Paid 40457 Wait No ₹30938,Housing,30938
upi payment to air asia ₹22116,Transport,22116
Transaction at Zomato for 14452.00,Food,14452
Paid 36706 At Air Asia,Transport,36706
Debit swipe Decathlon 30027.00 yesterday,Shopping,30027
transaction at subway for 4788,Food,4788
UPI payment to Starbucks ₹12669,Food,12669
amazon not 4852 but inr17704 on 12/05,Shopping,17704
went out for dinner with friends 27750.00,Food,27750
Apple Store 15226.00,Shopping,15226
Rs. 9124 paid to IMAX txn id 562842,Entertainment,9124
Winter Wear Purchase 14728 debt,Shopping,14728
ride 8380 rs ... not 17344 via phonepe,Transport,8380
8955 rs paid to 1mg,Health,8955
"Nike Calculated 36598 incorrectly, actual is Rs. 4961",Shopping,4961
Bill from Udemy of ₹19160,Education,19160
Bill from Uber of INR 36152,Transport,36152
repairs Typo 11867 read as INR22563,Housing,22563
train 16648 was debited... correction 12175,Transport,12175
"maid Calculated 22981 incorrectly, actual is Rs. 27565",Housing,27565
Debit swipe Ola Rs. 45156,Transport,45156
apparel expense ₹41370,Shopping,41370
prepaid cost Rs. 48935,Utilities,48935
Purchase Payment Of 1869.00,Shopping,1869
rs. 26216 paid to myntra on card today,Shopping,26216
Just paid wifi bill INR10049,Housing,10049
Monthly prepaid INR26456,Utilities,26456
"McDonalds Calculated 22080 incorrectly, actual is Rs. 48417 via gpay",Food,48417
electricity bill paid online inr 42831 last night,Utilities,42831
Debit swipe Vi 1722 rs,Utilities,1722
tea break at stall 9340.00,Food,9340
electronics store bill 334 rs,Shopping,334
weekend party expenses 8845,Entertainment,8845
"subscription INR38292 is the amount, not 17365",Entertainment,38292
Snack Not 20351 But 45793 Rs,Food,45793
recharge Typo 32519 read as 19507.00,Utilities,19507
dth charges inr4673 via paytm,Utilities,4673
Debit Swipe Indigo Rs. 26540,Transport,26540
Spent ₹49822 On Asian Paints via paytm,Housing,49822
Transaction at Amazon for INR 5171,Shopping,5171
Paid 10510 rs at Starbucks,Food,10510
monthly metro rs. 38822,Transport,38822
₹35443 paid to instamart successful,Food,35443
"Dominos Rs. 36394 Is The Amount, Not 37850 debt",Food,36394
Debit swipe McDonalds Rs. 20435,Food,20435
Transaction At Dishtv For 31483.00,Utilities,31483
Monthly fuel 41638.00,Transport,41638
Bill from Amazon of 49040,Shopping,49040
Rapido ₹17027,Transport,17027
Spent INR14100 on MedPlus txn id 655332,Health,14100
"Decathlon Inr 36623 Is The Amount, Not 21010",Shopping,36623
Instamart payment ₹23295,Food,23295
Internet 1642 Was Debited... Correction 43454.00,Utilities,43454
Shell Rs. 25648 ... not 11952,Transport,25648
inr48024 for apparel yesterday,Shopping,48024
metro charges ₹28577 upi ref 88897,Transport,28577
prepaid payment of 34268 rs,Utilities,34268
Rs. 42293 paid to Jio,Utilities,42293
Ordered from Bescom 28006,Utilities,28006
Transaction at KFC for INR13882 via gpay,Food,13882
gift charges INR 27627 yesterday,Shopping,27627
Blinkit INR11619,Food,11619
Event Cost 14941 Rs,Entertainment,14941
9801 for postpaid,Utilities,9801
monthly breakfast ₹4310,Food,4310
INR 20803 paid to Ajio,Shopping,20803
spent 36196 on nobroker,Housing,36196
Ordered from MedPlus ₹6852,Health,6852
Disney+ Payment ₹18442 via gpay,Entertainment,18442
Zara 45981 rs ... not 3941 today,Shopping,45981
upi payment to irctc inr 20374,Transport,20374
Spent Inr 2461 On Shoes via gpay,Shopping,2461
"postpaid 18254.00 is the amount, not 15939 cred",Utilities,18254
Debit swipe Starbucks Rs. 7866,Food,7866
Sunday Brunch Bill 29472 Rs,Food,29472
McDonalds 37314 rs,Food,37314
paid inr 23714 at apple store,Shopping,23714
Debit swipe Subway INR 4492,Food,4492
vegetables expense 33526,Food,33526
birthday treat for team 30028.00 cred yesterday,Food,30028
decathlon 37837 rs,Shopping,37837
INR 10251 paid to IRCTC,Transport,10251
Monthly furniture 47720.00 on 12/05,Housing,47720
Spent 750.00 on McDonalds,Food,750
office cab ride ₹37009 last night,Transport,37009
Instamart payment 39712,Food,39712
Amazon payment 27208,Shopping,27208
Debit swipe Decathlon INR36068,Shopping,36068
gift for anniversary 37188.00 last night,Shopping,37188
MedPlus payment INR 49244 via paytm,Health,49244
Dominos Payment Inr40892,Food,40892
Paid Rs. 13471 at IRCTC,Transport,13471
upi payment to shell inr 31383,Transport,31383
INR 13762 paid to Subway yesterday,Food,13762
Mcdonalds Typo 28317 Read As Rs. 37709,Food,37709
₹42231 for accessories,Shopping,42231
Bill from Netflix of INR37624 via phonepe,Entertainment,37624
Paid for dinner INR28703 txn id 631948,Food,28703
Bonus Received Inr32649,Income,32649
Whitewashing Labor Cost ₹5589 txn id 636506,Housing,5589
Bill from Subway of ₹3038,Food,3038
paid 28347 at adidas,Shopping,28347
Spent 6103.00 On Event last night,Entertainment,6103
Paid for accessories Rs. 28168 on card,Shopping,28168
Debit Swipe Bank 30421 Rs,Income,30421
Bill From Irctc Of Inr12040 debt,Transport,12040
Spent 40006 rs on vegetables,Food,40006
toll expense Rs. 48650,Transport,48650
Paid For Electronics Inr 26438,Shopping,26438
Debit swipe Disney+ ₹45511,Entertainment,45511
monthly bus pass renewal Rs. 1118,Transport,1118
accessories charges ₹46044,Shopping,46044
Zara ₹41628 upi ref 45900,Shopping,41628
Metro Paid 7557 Wait No 38904 Rs,Transport,38904
48540.00 paid to Swiggy,Food,48540
Transaction at Bescom for 14590,Utilities,14590
Paid Inr 41530 At Steam cred,Entertainment,41530
Inr31588 Paid To Subway,Food,31588
Fitness Rs. 48889 ... Not 7156,Health,48889
Debit swipe Decathlon 37179,Shopping,37179
Starbucks Transfer 47522 Actually Rs. 15496,Food,15496
Rapido 4465.00,Transport,4465
spent inr 47507 on friend,Others,47507
"clothes calculated 35374 incorrectly, actual is 33299 rs",Shopping,33299
spent 27095 rs on home centre yesterday,Housing,27095
Gym Charges 17820 Rs,Health,17820
transaction at air asia for 24217.00,Transport,24217
upi payment to swiggy ₹32012,Food,32012
Transaction at McDonalds for INR 9750 successful,Food,9750
ordered from act fibernet 45987,Utilities,45987
Bill From Swiggy Of 14725,Food,14725
Debit Swipe Mcdonalds 38896.00,Food,38896
late night craving order ₹45488,Food,45488
Coffee Payment Of Rs. 6167 on card,Food,6167
spent 6682.00 on dominos,Food,6682
dth cost INR 33605 upi ref 50837,Utilities,33605
UPI payment to DishTV ₹15414,Utilities,15414
Ordered From Bank 33510 upi ref 76582,Income,33510
Upi Payment To Pvr Inr43438,Entertainment,43438
electronics payment of Rs. 38727 upi ref 59121,Shopping,38727
Spent INR11585 on accessories via gpay,Shopping,11585
shoes charges 17280.00,Shopping,17280
paid 27696 at asian paints,Housing,27696
29192 rs for bus,Transport,29192
Ordered from Tata Sky 48918 rs txn id 963923,Utilities,48918
ordered clothes online 37821 on card,Shopping,37821
late night craving order ₹13083 yesterday,Food,13083
Bill From Friend Of 38016 today,Others,38016
Just Paid Shoes Bill Inr20906,Shopping,20906
bought new sneakers Rs. 49200,Shopping,49200
UPI payment to Jio 29184 rs cred,Utilities,29184
Breakfast Charges 40083 Rs,Food,40083
Ordered from Amazon Rs. 20553,Shopping,20553
monthly snack 29520 rs on 12/05,Food,29520
Ordered from Disney+ INR 8895,Entertainment,8895
Amazon INR36321 today,Shopping,36321
internet charges inr35817,Utilities,35817
cafe expense 38071,Food,38071
Toll Payment Of 14284.00,Transport,14284
Debit swipe Airtel INR 15902,Utilities,15902
PVR payment 19664.00,Entertainment,19664
Spent Rs. 15255 On Cafe successful today,Food,15255
Upi Payment To Blinkit Inr 47687,Food,47687
Just Paid Shopping Bill Inr20469,Shopping,20469
Debit Swipe Vi Rs. 16709,Utilities,16709
Subscription Payment Of ₹8426,Entertainment,8426
electrician Not 39797 but ₹18960 today,Housing,18960
Pvr Payment 2138 Rs,Entertainment,2138
Zomato Paid 40553 wait no 10344 rs,Food,10344
Paid 24492 At Bescom,Utilities,24492
Monthly accessories INR38928,Shopping,38928
Tea Break At Stall Rs. 18860,Food,18860
rs. 8452 paid to amazon,Shopping,8452
received Spent 28950 oh wait it was Rs. 45141 last night,Others,45141
monthly broadband inr 43387,Utilities,43387
Spent 3078 rs on cab,Transport,3078
ordered from asian paints ₹26525 successful,Housing,26525
BigBasket 39333 rs,Food,39333
Paid INR 37731 at IRCTC yesterday,Transport,37731
bought medicines for flu inr 12712,Health,12712
Transaction At Dishtv For Inr22072 debt,Utilities,22072
McDonalds payment Rs. 6905 cred,Food,6905
bill Bill is INR 29484 not 8428,Utilities,29484
paid for dinner inr13298 yesterday,Food,13298
INR43232 for lunch,Food,43232
Paid 39691.00 At Bescom successful,Utilities,39691
irctc payment 49802.00,Transport,49802
Myntra payment INR16144,Shopping,16144
Client Rs. 38042 today,Income,38042
late night craving order 25682,Food,25682
physiotherapy session inr 14930,Health,14930
Just Paid Dinner Bill 18725.00,Food,18725
Debit swipe Apple Store Rs. 17831,Shopping,17831
Broadband Expense 35375,Utilities,35375
show charges Rs. 25405 on card,Entertainment,25405
UPI payment to BigBasket 39923,Food,39923
Fee Not 35339 But Inr 30796,Education,30796
Monthly College 14707 Rs last night,Education,14707
"Ajio INR33073 is the amount, not 9470",Shopping,33073
fruits expense Rs. 11363 debt,Food,11363
Ordered from Adidas INR 40568 txn id 511911,Shopping,40568
office canteen lunch INR5239,Food,5239
shoes payment of ₹34358,Shopping,34358
Debit swipe Blinkit 351 rs,Food,351
office cab ride 28884,Transport,28884
Spent 11493 rs on dth,Utilities,11493
Paid for yoga Rs. 25242,Health,25242
imax payment 45011.00 successful,Entertainment,45011
salary credited for august Rs. 27009 cred today,Income,27009
weekend party expenses 19086 rs,Entertainment,19086
Just paid party bill 44702.00 via phonepe,Entertainment,44702
Atm Payment Of Inr 34860 txn id 511770,Others,34860
show expense INR 39812 on 12/05,Entertainment,39812
Rs. 20508 for electricity,Housing,20508
parking payment of INR 27861 on card,Transport,27861
Ordered from Uber INR 38773,Transport,38773
Transaction at BookMyShow for INR25557,Entertainment,25557
Ordered From Ikea Inr27966,Housing,27966
spent 36800.00 on h&m,Shopping,36800
wifi 23678 was debited... correction 20445 rs on card,Housing,20445
accessories charges 35765 rs today,Shopping,35765
Paid INR 36872 at Client via paytm today,Income,36872
Ordered from Udemy ₹818 txn id 678735,Education,818
Monthly prepaid 16342 rs,Utilities,16342
late night craving order ₹17912,Food,17912
UPI payment to Dominos 48005 rs,Food,48005
Upi Payment To Nike Inr29551,Shopping,29551
"Adidas Rs. 10676 is the amount, not 13897",Shopping,10676
Dishtv Payment 21499 Rs on 12/05,Utilities,21499
Cab Expense Inr 43558,Transport,43558
upi payment to tata sky 18274.00,Utilities,18274
Transaction at NoBroker for INR8256,Housing,8256
Spent 46079 on Zomato,Food,46079
Nike 42289 no make it 19862 rs,Shopping,19862
₹2913 Paid To Pvr,Entertainment,2913
Paid For Vegetables 49606,Food,49606
Kindle payment INR 11818 via paytm,Education,11818
Urban Company Payment 19128,Housing,19128
Ordered from 1mg 46448,Health,46448
Transaction at Burger King for INR 35960,Food,35960
purchase Not 33891 but INR 18682,Shopping,18682
INR738 for workshop,Education,738
Transaction at BigBasket for 6101 on 12/05,Food,6101
"tuition 13198 rs is the amount, not 27130 cred",Education,13198
Apple Store Inr22186,Shopping,22186
dinner 44620 was debited... correction rs. 12759,Food,12759
Bill from PVR of INR32438,Entertainment,32438
game Paid 6882 wait no INR43201,Entertainment,43201
Bill from 1mg of Rs. 9118,Health,9118
bought vegetables from local shop 7991.00,Food,7991
spent 42999 on gas bill,Housing,42999
spent 44355 rs on cure.fit,Health,44355
tea break at stall INR16399 on 12/05,Food,16399
ordered from starbucks inr 43707,Food,43707
mobile recharge done 39298 on 12/05,Utilities,39298
pharmacy payment of 42008.00,Health,42008
bill from cure.fit of 39308 rs,Health,39308
"Myntra Calculated 22366 Incorrectly, Actual Is 642.00",Shopping,642
Spent INR40479 on cafe,Food,40479
Starbucks 5921 no make it 28742.00,Food,28742
upi payment to kfc 11637 rs,Food,11637
Debit swipe Coursera INR 35209 txn id 940816 today,Education,35209
"bescom calculated 24103 incorrectly, actual is inr 18370 cred",Utilities,18370
refund Spent 40819 oh wait it was INR 37257,Income,37257
Dominos 12666 was debited... correction ₹14925,Food,14925
Spent INR 47174 on Zomato via gpay,Food,47174
restaurant Typo 45643 read as 113 via gpay,Food,113
spent inr 25159 on airtel,Utilities,25159
Credited Paid 4365 Wait No Inr 22066 txn id 497599,Income,22066
cab charges 42618 rs on 12/05,Transport,42618
dinner expense INR9105 on card,Food,9105
Shopping Payment Of 32185 Rs,Shopping,32185
ordered late night snacks Rs. 39290,Food,39290
bought new sneakers ₹32172,Shopping,32172
Bill from Apollo Pharmacy of INR 5879,Health,5879
INR 32418 paid to Charity via paytm,Others,32418
Spent 17971 rs on Shell,Transport,17971
ordered from byju's rs. 16020,Education,16020
spent rs. 41376 on playstation,Entertainment,41376
INR21516 paid to IRCTC,Transport,21516
UPI payment to Adidas Rs. 7260,Shopping,7260
Spent 18129.00 On Bigbasket,Food,18129
₹14577 paid to BigBasket yesterday,Food,14577
grocery charges 28500,Food,28500
Spent INR 17599 on fruits,Food,17599
Spent Inr 16906 On Kfc,Food,16906
Mcdonalds Paid 32237 Wait No Inr7486 via phonepe,Food,7486
Spent ₹2986 On Coffee on 12/05,Food,2986
fruits charges 16227.00 on card,Food,16227
auto 46222 instead of 45300,Transport,46222
repairs cost INR2044,Housing,2044
Just paid bonus bill 18042,Income,18042
"Nike INR23191 is the amount, not 14587",Shopping,23191
"furniture INR29765 is the amount, not 18758",Housing,29765
train ticket booking tatkal INR34978 debt,Transport,34978
auto INR11752 instead of 45506,Transport,11752
"Amazon Calculated 11268 incorrectly, actual is INR16108",Shopping,16108
Transaction at DishTV for 532.00,Utilities,532
12066.00 Paid To Ajio,Shopping,12066
Ordered From Act Fibernet 26595 Rs,Utilities,26595
Spent ₹32322 On Kindle today,Education,32322
freelance payment received 32784 rs,Income,32784
fuel charges 15784,Transport,15784
paid 35435.00 at subway,Food,35435
Accessories 44634 Was Debited... Correction 32707.00,Shopping,32707
"Udemy Rs. 24958 is the amount, not 24821",Education,24958
"dth Calculated 44541 incorrectly, actual is ₹39107",Utilities,39107
ordered clothes online inr14246,Shopping,14246
"Adidas 24555 Rs Is The Amount, Not 47476",Shopping,24555
show not 8982 but inr7475,Entertainment,7475
"Practo INR 42030 is the amount, not 1973",Health,42030
Upi Payment To Decathlon Inr 12728,Shopping,12728
Paid 3756 at Dominos txn id 992697,Food,3756
Rs. 40484 for prepaid successful,Utilities,40484
Debit Swipe Instamart 38356 Rs,Food,38356
Uber Not 18166 but ₹41578 debt,Transport,41578
subway 5377 rs instead of 35361,Food,5377
Monthly Dinner Inr1306 on 12/05,Food,1306
Urban Company payment INR6423 today,Housing,6423
mobile recharge done ₹39347,Utilities,39347
Spent 42278.00 on show,Entertainment,42278
Myntra payment Rs. 988,Shopping,988
rent expense 42506,Housing,42506
Rs. 14176 Paid To Byju'S,Education,14176
train expense INR 24967,Transport,24967
Fuel Not 33306 But 2801.00,Transport,2801
KFC payment INR6509,Food,6509
shoes expense INR17064,Shopping,17064
sunday brunch bill 42345 rs debt,Food,42345
train Paid 5543 wait no 22470.00 via phonepe,Transport,22470
Ordered from Instamart INR21286,Food,21286
Paid for movie INR 5505 via paytm,Entertainment,5505
Debit swipe Unknown 16709,Others,16709
bill spent 30924 oh wait it was rs. 8895,Utilities,8895
Ordered from McDonalds 7023,Food,7023
Kfc Inr 29829 yesterday,Food,29829
Ordered from Dominos Rs. 13455,Food,13455
monthly accessories 32071.00,Shopping,32071
INR16609 paid to Employer,Income,16609
birthday gift ₹47355,Shopping,47355
Monthly cafe 22027 rs,Food,22027
bill from tata sky of 35846 upi ref 76944,Utilities,35846
spent 30219 on myntra,Shopping,30219
Birthday Treat For Team Rs. 37920,Food,37920
spent 43920.00 on snack,Food,43920
gift cost 24652 rs,Shopping,24652
Transaction at Flipkart for 28157,Shopping,28157
Monthly postpaid 9445 rs,Utilities,9445
Just paid train bill 47704 rs,Transport,47704
Debit swipe Burger King INR25077 today,Food,25077
Monthly Bus Pass Renewal Inr23649,Transport,23649
Indigo payment Rs. 34771 txn id 312876,Transport,34771
Air Asia ₹15937 ... not 44261,Transport,15937
Ordered from IRCTC 8451,Transport,8451
UPI payment to Pizza Hut INR 28150,Food,28150
dth yearly subscription INR 40656 debt,Utilities,40656
internet not 14813 but ₹10425,Utilities,10425
Client Payment 8422 upi ref 50211,Income,8422
Just Paid Furniture Bill 30923.00,Housing,30923
Monthly shopping ₹27140,Shopping,27140
petrol payment of 17333.00 on 12/05,Transport,17333
₹9553 for recharge,Utilities,9553
Spent ₹462 on Nike,Shopping,462
wifi bill payment 49310,Utilities,49310
Unknown 48102 today,Others,48102
Ordered from 1mg INR33362,Health,33362
Upi Payment To Jio ₹13229 yesterday,Utilities,13229
Transaction at Udemy for 4045.00,Education,4045
Dominos Bill is INR 24098 not 49368,Food,24098
Transaction at H&M for 12486,Shopping,12486
Paid ₹24380 at Zomato,Food,24380
event Transfer 17643 actually 45634 txn id 875654,Entertainment,45634
accessories transfer 6662 actually 46706,Shopping,46706
electronics payment of Rs. 30974,Shopping,30974
decathlon bill is ₹24944 not 24355,Shopping,24944
"apple store calculated 34479 incorrectly, actual is inr4657",Shopping,4657
bill from h&m of 48675 rs on 12/05,Shopping,48675
Spent 7996 On Friend successful last night,Others,7996
Debit swipe Ola ₹26720,Transport,26720
auto rickshaw fare Rs. 24321,Transport,24321
Apple Store Bill is 2738... sorry 44840.00 successful,Shopping,44840
prepaid spent 35685 oh wait it was ₹6989,Utilities,6989
Coffee Payment Of ₹6947 on card,Food,6947
Spent Rs. 7955 on bonus,Income,7955
Monthly dth 11986,Utilities,11986
Upi Payment To Irctc 33253 Rs,Transport,33253
Paid for training 42566,Education,42566
Upi Payment To Subway 44248 Rs,Food,44248
Recharge Spent 1525 Oh Wait It Was 30281,Utilities,30281
Irctc Rs. 45551 Instead Of 29168 debt,Transport,45551
bank transfer 2175 actually ₹38221,Income,38221
dental cleaning charges 13994.00,Health,13994
spent inr9630 on dth last night,Utilities,9630
NoBroker payment INR27130,Housing,27130
grocery cost INR 7282 today,Food,7282
cab cost INR27241,Transport,27241
"shoes Calculated 28970 incorrectly, actual is 28642",Shopping,28642
Paid Rs. 11225 at H&M,Shopping,11225
Spent Rs. 20192 on recharge,Utilities,20192
apollo pharmacy 44762.00 on 12/05,Health,44762
Monthly accessories INR 19155 via gpay,Shopping,19155
HP Petrol INR 46157 instead of 14106 cred,Transport,46157
maid payment of 223.00,Housing,223
Spent 17842.00 on internet,Utilities,17842
Bill From Zomato Of Inr820,Food,820
Paid Inr 32896 At Charity,Others,32896
INR47171 for college,Education,47171
22157.00 paid to Act Fibernet,Utilities,22157
renewed netflix subscription ₹39220,Entertainment,39220
rs. 49605 paid to zara,Shopping,49605
Rs. 253 for water bill debt,Housing,253
Act Fibernet INR 8037,Utilities,8037
Parking Payment Of ₹40410,Transport,40410
office cab ride INR24292 via phonepe,Transport,24292
late night craving order 7789 rs,Food,7789
Dinner Expense Rs. 29728,Food,29728
Swiggy ₹29565,Food,29565
₹40716 for dinner,Food,40716
Transaction at Cult.fit for 22383 on 12/05,Health,22383
UPI payment to Dominos 5424.00 via paytm,Food,5424
fruits charges rs. 9772,Food,9772
Monthly Breakfast 5834,Food,5834
Home Centre 40592 rs,Housing,40592
Just paid shoes bill ₹34147 via gpay,Shopping,34147
"BookMyShow Rs. 48641 is the amount, not 1931",Entertainment,48641
Debit swipe 1mg Rs. 36554 debt,Health,36554
workshop Typo 33649 read as ₹2698,Education,2698
transaction at medplus for inr34251 via gpay last night,Health,34251
Inr 41856 Paid To Pizza Hut,Food,41856
UPI payment to Decathlon 9005 rs,Shopping,9005
Bought Vegetables From Local Shop Inr38071,Food,38071
Subscription Bill Is Rs. 4834 Not 7819,Entertainment,4834
burger king bill is 29707 not 3447 via phonepe,Food,29707
bill payment of rs. 28190 on card,Utilities,28190
Spent Rs. 2061 on Nike debt,Shopping,2061
debit swipe playstation ₹21300,Entertainment,21300
Paid for concert ₹2949,Entertainment,2949
upi payment to urban company 2256,Housing,2256
Paid 27182 rs at Kindle debt,Education,27182
routine body checkup 23649,Health,23649
gift charges ₹6648,Shopping,6648
Swiggy Inr18459 debt,Food,18459
UPI payment to 1mg INR40416,Health,40416
Transaction At Disney+ For Inr 20689 txn id 365684,Entertainment,20689
Apollo Pharmacy Not 35970 but Rs. 2197 via paytm,Health,2197
Burger King 42007 rs,Food,42007
Bescom 8969.00,Utilities,8969
Debit swipe Coursera INR 21442,Education,21442
1mg 31887.00 ... not 44804,Health,31887
Debit swipe McDonalds Rs. 21503,Food,21503
Spent ₹47053 on apparel upi ref 42598,Shopping,47053
Uber ₹23800,Transport,23800
Inr 13546 For Gym,Entertainment,13546
₹5651 paid to Burger King via paytm,Food,5651
weekend party expenses INR16405,Entertainment,16405
spent 18803 rs on subway,Food,18803
INR25662 for movie,Entertainment,25662
tax refund processed 46321 rs,Income,46321
spent 9079.00 on blinkit,Food,9079
gym Not 14109 but ₹20549,Health,20549
Gas Bill Bill Is 28807... Sorry Inr16594 on card,Housing,16594
Event Charges ₹695,Entertainment,695
burger king ₹45473,Food,45473
metro ride to work INR21054,Transport,21054
INR14228 paid to Ola debt,Transport,14228
Spent 19408 on internet successful,Utilities,19408
office canteen lunch ₹7714,Food,7714
bus bill is 15810.00 not 3489 cred,Transport,15810
monthly bus pass renewal 12674.00,Transport,12674
Paid ₹42632 at Urban Company,Housing,42632
charity donation INR 22498,Others,22498
Spent 32433 On Nike,Shopping,32433
49738 rs paid to Unknown,Others,49738
spent 10202 rs on friend txn id 761408,Others,10202
Furniture Paid 37265 Wait No ₹45667,Housing,45667
26341 rs paid to act fibernet cred,Utilities,26341
1072 paid to Flipkart,Shopping,1072
recharge expense ₹38823 on card,Utilities,38823
Debit swipe Tata Sky INR 4355,Utilities,4355
Paid INR1889 at DishTV,Utilities,1889
adidas ₹28803 instead of 48971 debt,Shopping,28803
Spent INR 33079 on MedPlus,Health,33079
donation payment of 1700 via phonepe,Others,1700
mobile expense inr 48632,Utilities,48632
27252 Paid To Urban Company successful,Housing,27252
dominos payment inr11502,Food,11502
ordered clothes online ₹42949 today,Shopping,42949
weekend party expenses 36879.00 last night,Entertainment,36879
UPI payment to Unacademy INR 1952,Education,1952
paid for fuel 28489,Transport,28489
sunday brunch bill inr7382 via gpay,Food,7382
McDonalds Bill is INR31859 not 49856,Food,31859
Bill From Bescom Of 13758,Utilities,13758
mcdonalds payment 28778,Food,28778
upi payment to medplus inr 22908,Health,22908
Exam Registration Fees 42775.00,Education,42775
Udemy Bill is 36902.00 not 38862,Education,36902
spent ₹15176 on amazon,Shopping,15176
Paid for ride 28833 rs,Transport,28833
debit swipe friend 44885,Others,44885
Act Fibernet 11096.00,Utilities,11096
Debit swipe Home Centre 20900 rs,Housing,20900
just paid show bill inr 17024,Entertainment,17024
Paid 49165 rs at DishTV,Utilities,49165
Paid 30729 at Apollo Pharmacy debt,Health,30729
Spent ₹14475 on cab,Transport,14475
dth 8687 instead of 21155,Utilities,8687
game 1205 was debited... correction 19798 rs,Entertainment,19798
Paid ₹27107 at IMAX,Entertainment,27107
Spent 28193 rs on mobile,Utilities,28193
monthly toll rs. 11650,Transport,11650
₹27384 for book,Education,27384
restaurant charges rs. 539 via phonepe,Food,539
gift charges 19863 rs,Shopping,19863
ordered from shell ₹13004,Transport,13004
Shell payment Rs. 21990,Transport,21990
Paid Inr16058 At Instamart,Food,16058
paid for ride inr 46150,Transport,46150
Ordered from Urban Company 39659.00,Housing,39659
Bill from Starbucks of Rs. 14677,Food,14677
Paid for fruits 23684.00,Food,23684
Spent Rs. 16125 On Gift,Shopping,16125
"grocery Rs. 26037 is the amount, not 33532",Food,26037
Upi Payment To Zara ₹39772,Shopping,39772
38960 paid to Amazon today,Shopping,38960
Gas Cylinder Booking 37260.00 debt,Utilities,37260
Paid INR8369 at Swiggy,Food,8369
myntra transfer 18521 actually 39062,Shopping,39062
Transaction at Adidas for INR 14469,Shopping,14469
workshop 33716 was debited... correction 46412,Education,46412
fruits payment of inr9666,Food,9666
Apple Store payment 39074,Shopping,39074
bought new ps5 game,Entertainment,38399
37767 rs for event,Entertainment,37767
debit swipe 1mg rs. 38946 via paytm today,Health,38946
cafe expense INR 41430,Food,41430
dinner cost Rs. 8696,Food,8696
spent rs. 11201 on h&m,Shopping,11201
bought new sneakers ₹16276,Shopping,16276
Debit Swipe 1Mg 21542.00,Health,21542
flipkart payment inr31955,Shopping,31955
misc 10719 no make it 47057,Others,47057
Debit swipe NoBroker 30203.00,Housing,30203
prepaid Bill is 23818... sorry 4928,Utilities,4928
Spent Rs. 48976 on mobile,Utilities,48976
36472 for dinner,Food,36472
Monthly restaurant Rs. 8267 last night,Food,8267
Just paid trip bill INR4783,Transport,4783
debit swipe instamart 5069.00,Food,5069
Rs. 46030 for vegetables via gpay,Food,46030
fuel filled for bike INR24273 via gpay,Transport,24273
Ordered from Flipkart INR 16740,Shopping,16740
fitness charges INR 29177,Health,29177
Apple Store Transfer 22904 actually 8765,Shopping,8765
Rs. 40626 Paid To Zomato,Food,40626
Stipend Charges 18877.00 via paytm,Income,18877
Ordered from Swiggy Rs. 35030,Food,35030
fuel charges INR33044,Transport,33044
BookMyShow 1100.00 via paytm,Entertainment,1100
spent rs. 27662 on rapido,Transport,27662
paid for accessories inr 47507,Shopping,47507
dth cost 15610 rs,Utilities,15610
spent 8165 on fuel,Transport,8165
auto rickshaw fare 31706 rs,Transport,31706
apparel cost ₹24753 cred,Shopping,24753
auto Bill is 45198... sorry INR13268 via paytm,Transport,13268
Bill From Imax Of Inr26487,Entertainment,26487
h&m 37879 was debited... correction inr31364 debt,Shopping,31364
Monthly lunch ₹19823,Food,19823
just paid plumber bill 21619 txn id 138532,Housing,21619
